Species,Strain,Tissue,Cell Type,Recommended Capsid
Macaque,Not Applicable,Peripheral Nervous System,Enteric,Most potent for the desired cell type(s): AAV.MaCPNS2 with GRE (Note: CNS is also broadly transduced in this species)
Marmoset,Not Applicable,Peripheral Nervous System,Enteric,Alternative capsid: AAV.MaCPNS1 with GRE (Note: CNS is also broadly transduced in this species)
Marmoset,Not Applicable,Peripheral Nervous System,Enteric,Most potent for the desired cell type(s): AAV.MaCPNS2 with GRE (Note: CNS is also broadly transduced in this species)
Mouse,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Enteric,Most potent for the desired cell type(s): AAV.MaCPNS2 with GRE
Rat,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Enteric,Alternative capsid: AAV.MaCPNS1 with GRE
Rat,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Enteric,Most potent for the desired cell type(s): AAV.MaCPNS2 with GRE
Macaque,Not Applicable,Peripheral Nervous System,Sensory,Alternative capsid: AAV.MaCPNS2 with GRE (Note: CNS is also broadly transduced in this species)
Macaque,Not Applicable,Peripheral Nervous System,Sensory,Most potent for the desired cell type(s): AAV.MaCPNS1 with GRE (Note: CNS is also broadly transduced in this species)
Marmoset,Not Applicable,Peripheral Nervous System,Sensory,Alternative capsid: AAV.MaCPNS2 with GRE (Note: CNS is also broadly transduced in this species)
Marmoset,Not Applicable,Peripheral Nervous System,Sensory,Most potent for the desired cell type(s): AAV.MaCPNS1 with GRE (Note: CNS is also broadly transduced in this species)
Mouse,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Sensory,Most specific for the desired cell type(s): AAV.MaCPNS1
Mouse,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Sensory,Most potent for the desired cell type(s): AAV.MaCPNS1
Rat,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Sensory,Alternative capsid: AAV.MaCPNS2 with GRE
Rat,Not Applicable (no known strain-specifiity),Peripheral Nervous System,Sensory,Most potent for the desired cell type(s): AAV.MaCPNS1 with GRE
